発明の名称,要約,出願番号,公開番号,applicant_main,inventor_main,year,ipc_main_group,cluster,cluster_label,umap_x,umap_y,eagle_cluster,drill_cluster,drill_cluster_label,mega_pulse_group,core_技術分類,core_課題分類,core_解決手段分類
表面処理炭酸カルシウム及びそれを含むポリマー組成物,-,特願2012-073656,特開2013-203851,['白石中央研究所'],[],2012.0,"['C08L101', 'C09C1', 'C08L67', 'C08L71', 'C08K9', 'C08L77', 'C09C3', 'C08K3', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",14.402679,13.16382,-1,,,リーダー (Leaders),高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
表面処理炭酸カルシウム及びその製造方法,-,特願2012-073773,特開2013-203581,['白石中央研究所'],[],2012.0,"['C09C1', 'C01F11']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.831289,14.12523,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
顔料の調製,-,特願2015-500922,特表2015-516997,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2013.0,"['C08L29', 'C08F220', 'C09C1', 'C09D151', 'C08J3', 'D21H21', 'C09D171', 'C09D7', 'D21H17', 'C08L3', 'C08L33', 'C08F8', 'C09C3', 'C08K3', 'C09D201', 'C09D17', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",13.608224,11.650346,-1,,,衰退・ニッチ (Declining/Niche),製紙・パルププロセス技術,その他,その他
偏三角面体状の沈降炭酸カルシウムを調製するための方法,-,特願2015-501844,特表2015-516358,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2013.0,"['D21H19', 'C01F11', 'D21H17']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.464666,17.64977,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
高分散能力を有する鉱物材料粉末および前記鉱物材料粉末の使用,-,特願2014-557033,特表2015-512968,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2013.0,"['C08L101', 'C09C1', 'C08J3', 'D21H21', 'A61K8', 'C08L27', 'C09D17', 'C09C3', 'C08K3', 'C09D201', 'C09D7', 'C01F11', 'C08L23']",29,"[29] 鉱物, 重金属, 製造",14.944267,10.763315,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
複合粒子の製造方法,-,特願2012-026300,特開2013-163606,['大王製紙'],[],2012.0,"['C01B33', 'C01F11', 'D21H17']",18,"[18] 製造, 無機, 光学",16.364614,13.009292,-1,,,,その他,その他,表面処理・複合化の適用
炭酸カルシウムの製造方法及び炭酸カルシウム製造システム,-,特願2012-020464,特開2013-159495,['ＩＨＩ'],[],2012.0,['C01F11'],-1,ノイズ / 小クラスタ,18.053879,19.313229,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
鉱物、顔料および／もしくは充填材の精製ならびに／または沈降アルカリ土類炭酸塩の調製のための装置,-,特願2014-555151,特表2015-508703,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2013.0,"['530@A', '510@A', '540@D', '500', 'B01D71', '520@C', 'C01F11', 'B02C17', 'B01F25', '520@K', '510@B', '530@L', '520@M', '540@Z', '520@N', 'B01F35', 'B01F101:30', 'B01F5', '520@L', 'B01F3', 'B01F23', '530@K', 'B01D61', 'C02F1']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.7209215,8.992702,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化;専用装置・プラントシステムの設計
少なくとも１種類のアルカリ土類金属炭酸水素塩を含む水溶液の調製方法および該水溶液の使用,-,特願2014-555201,特表2015-513444,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2013.0,"['520@B', 'B01D61', '530@A', '540@Z', '510@A', 'C02F1', 'C01F5', '520@K', '520@D', '520@L', '520@C', 'B01D63', 'C01F11']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.732826,8.844537,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
少なくとも１種類のアルカリ土類金属炭酸水素塩を含む水溶液の調製方法および該水溶液の使用,-,特願2014-555200,特表2015-513443,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2013.0,"['520@B', 'B01D61', '540@Z', '510@A', '540@D', '500', 'A23L1', 'C02F1', '510@H', 'C01F11', '520@K', '520@L', '520@D', 'B01D63', 'A23L33', '520@C', '510@B']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.746267,8.805478,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
水処理方法及び水処理装置,-,特願2012-002313,特開2013-141627,['三菱電機'],[],2012.0,"['C01F11', 'C02F1']",-1,ノイズ / 小クラスタ,17.192001,8.932223,-1,,,,その他,その他,専用装置・プラントシステムの設計
二種類の塩に基づく熱分解プロセスを伴う二酸化炭素の隔離,-,特願2014-552337,特表2015-508332,['スカイオニック\u3000コーポレイション'],[],2013.0,"['210', 'C01B32', 'B01J3', '200', 'B01D53', '135@Z', 'C01B31', '102', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.647769,18.203014,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,その他,その他
炭酸化装置及びこれを用いた炭酸化方法,-,特願2014-547122,特表2015-505811,"['ポスコ', 'リサーチ\u3000インスティチュート\u3000オブ\u3000インダストリアル\u3000サイエンス\u3000アンド\u3000テクノロジー', 'エムプライ\u3000カンパニー\u3000リミテッド']",[],2012.0,"['B01F15', 'B01F1', 'B01F21', 'C01B32', 'B01F35', 'C01D15', 'C01F5', 'B01F23', 'C01B31', 'C01F11']",-1,ノイズ / 小クラスタ,17.621468,18.706093,-1,,,,その他,その他,専用装置・プラントシステムの設計
表面電荷を有する炭酸カルシウムとその製造方法、および、この炭酸カルシウムを用いた製紙用充填剤,-,特願2012-087860,特開2013-136497,['ハンクク\u3000ペイパー\u3000マニュファクチャリング\u3000カンパニー\u3000リミテッド'],[],2012.0,"['C01F11', 'D21H17']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.291886,12.237047,-1,,,,炭酸塩製造・粒子制御技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
塗工白板紙,-,特願2011-285388,特開2013-133564,['王子ホールディングス'],[],2011.0,"['D21H19', 'C01F11']",7,"[7] 製造, オフセット印刷, 製紙用",10.551356,11.019672,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
複合粒子の製造方法,-,特願2011-279939,特開2013-129562,['大王製紙'],[],2011.0,"['C01F11', 'D21H17']",18,"[18] 製造, 無機, 光学",16.357714,13.004371,-1,,,,その他,その他,表面処理・複合化の適用
炭酸カルシウムの製造方法及び炭酸カルシウム製造システム,-,特願2011-277870,特開2013-129543,['ＩＨＩ'],[],2011.0,"['B09B3', 'C02F1', 'B09B101:45', 'C01F11', '304@J']",-1,ノイズ / 小クラスタ,18.057034,19.334127,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
炭酸カルシウムスラリー,-,特願2014-549096,特表2015-511207,['ローム\u3000アンド\u3000ハース\u3000カンパニー'],[],2012.0,"['C09C1', 'C09D17', 'D21H17', 'C09C3', 'D21H19', 'C01F11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",20.04629,14.644909,-1,,,,その他炭酸塩関連技術,その他,その他
カルシウム抽出とＰＣＣ製造を継続的に行うための回収方法,-,特願2014-548947,特表2015-506413,['コレックス・マテリアルズ・インコーポレーテッド'],[],2012.0,"['C22B7', 'C22B26', 'C01F11']",31,"[31] 回収, カルシウム, 廃棄物",19.619585,16.477737,-1,,,,その他,その他,その他
塗工新聞用紙,-,特願2011-239104,特開2013-096028,['王子ホールディングス'],[],2011.0,"['D21H19', 'C01F11']",7,"[7] 製造, オフセット印刷, 製紙用",10.596398,11.081209,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
二酸化炭素固定化方法,-,特願2012-236644,特開2013-095662,['コリア・インスティテュート・オヴ・ジオサイエンス・アンド・ミネラル・リソーシズ'],[],2012.0,"['210', 'C01B32', 'B01D53', 'C01B31', '102', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.425708,18.369247,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
堆積物の沈着が少ない炭酸カルシウム含有物質の水性懸濁液,-,特願2014-540418,特表2015-504354,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['C08F220', 'C09D157', 'C02F5', 'C09D7', 'C09C3', '620@Z', 'C09D201', 'C09D17', 'C01F11']",27,"[27] 炭酸カルシウム, 水性, 製造",17.897333,8.480216,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
カルシウム化合物及びその製造方法,-,特願2011-232850,特開2013-091576,['愛媛県'],[],2011.0,"['D01F9', 'B82Y30', 'B82Y40', 'C01F11']",32,"[32] カルシウム, 製造, 吸収性",20.303629,16.393944,-1,,,,その他,その他,その他
炭酸カルシウムの製造方法,-,特願2011-228478,特開2013-087013,['三菱製紙'],[],2011.0,['C01F11'],8,"[8] 炭酸カルシウム, 製造, 高級炭酸",21.129225,20.157902,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
表面処理炭酸カルシウムならびに浄水ならびに汚泥および沈降物の脱水におけるこれの使用,-,特願2014-539310,特表2014-533196,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['107@Z', '107@B', '101@A', 'C02F1', 'B01D21', '107@A', '102', 'C01F11', 'C02F11']",26,"[26] 水性, 脱水, 石灰泥",17.360094,8.9069,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
粒状フィラー,-,特願2014-537721,特表2015-504450,['イメリーズ\u3000ミネラルズ\u3000リミテッド'],[],2012.0,"['C08L101', 'C08J5', 'D01F6', 'C08K9', 'C08K7', 'C08K3', 'C01F11', 'C08L23', 'D04H3']",-1,ノイズ / 小クラスタ,15.778176,10.388928,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
ポリアミド樹脂組成物,-,特願2011-220739,特開2013-079346,['白石中央研究所'],[],2011.0,"['C08L101', 'C09C1', 'C08K9', 'C08L77', 'C09C3', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",14.339147,12.526932,-1,,,リーダー (Leaders),その他,その他,その他
特にインクジェット印刷紙コーティングで使用するための沈殿炭酸カルシウム顔料,-,特願2012-269620,特開2013-079192,['オムヤ・デイベロツプメント・アー・ゲー'],[],2012.0,"['110', '100', '120', 'D21H19', 'B41M5', 'C01F11', 'D21H27']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.398419,11.814584,-1,,,,製紙・パルププロセス技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
キャスト塗被紙,-,特願2011-208860,特開2013-067923,['王子ホールディングス'],[],2011.0,"['D21H19', 'C01F11']",7,"[7] 製造, オフセット印刷, 製紙用",10.54407,11.022009,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
沈降炭酸カルシウム粒子及びその使用,-,特願2014-533908,特表2015-504398,['ソルヴェイ（ソシエテ\u3000アノニム）'],[],2012.0,"['D21H21', 'B82Y30', 'C09D7', 'C09D201', 'D21H19', 'C01F11', 'D21H11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",19.880754,14.477954,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
填料用軽質炭酸カルシウムおよびその内填紙,-,特願2011-266169,特開2013-060692,['王子ホールディングス'],[],2011.0,"['D21H19', 'C01F11', 'D21H17']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.580116,18.047792,-1,,,衰退・ニッチ (Declining/Niche),製紙・パルププロセス技術;その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
球状炭酸カルシウム微粒子の製造方法,-,特願2011-199204,特開2013-060320,"['コンカレント', '学校法人早稲田大学']",[],2011.0,"['A61Q1', 'A61K47', 'A61Q11', 'A61K8', 'C01F11']",16,"[16] 球状炭酸, 製造, カルシウム",18.95041,13.159002,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
表面処理炭酸カルシウム、その製造方法及びゴム組成物,-,特願2011-197285,特開2013-057034,['白石中央研究所'],[],2011.0,"['C09C1', 'C08L21', 'C08K9', 'C09C3', 'C08K3', 'C01F11']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.657688,14.200112,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
ジルコニウム化合物を含有する水性溶液を用いる水性媒体中の炭酸カルシウムを分散および／または粉砕および／または濃縮するための方法,-,特願2012-228966,特開2013-056824,['オムヤ・デイベロツプメント・アー・ゲー'],[],2012.0,"['C09D7', 'C09D17', 'D21H17', 'D21H19', 'C01F11']",27,"[27] 炭酸カルシウム, 水性, 製造",18.10649,8.521555,-1,,,,その他炭酸塩関連技術,その他,その他の手段
研磨剤を含有する核酸導入剤,-,特願2011-194260,特開2013-053125,['国立大学法人\u3000長崎大学'],[],2011.0,"['A61K47', 'A61K48', 'A61P35', 'C12N15', 'C01F11', 'A61P41']",-1,ノイズ / 小クラスタ,15.901558,9.330065,-1,,,,その他,その他,その他
ケイ素およびカルシウム溶出性炭酸カルシウム及びその製造方法,-,特願2011-193418,特開2013-053048,['国立大学法人\u3000名古屋工業大学'],[],2011.0,"['C08K9', 'C08L101', 'C01F11', 'C08L67']",-1,ノイズ / 小クラスタ,19.964378,16.867443,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
自己結合性顔料粒子懸濁液の調製方法,-,特願2014-527587,特表2014-527113,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['C09D17', 'C01F11', 'D21H17']",25,"[25] 顔料, 製造, 自己結合",14.300458,11.919813,-1,,,衰退・ニッチ (Declining/Niche),製紙・パルププロセス技術,その他,その他
自己結合性顔料ハイブリッド,-,特願2014-527624,特表2014-531479,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['C09C1', 'D21H21', 'C09D17', 'C09C3', 'C08K3', 'C09D201', 'C09D7', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",13.763467,11.761124,-1,,,衰退・ニッチ (Declining/Niche),製紙・パルププロセス技術,その他,その他
２液型硬化性樹脂組成物用表面処理炭酸カルシウム充填材及び該充填材を配合してなる２液型硬化性樹脂組成物,-,特願2012-211672,特開2013-047343,['丸尾カルシウム'],[],2012.0,"['C08K9', 'C09K3', 'C01F11', 'C08L101']",20,"[20] 炭酸カルシウム, 該填料, 硬化型",13.661698,13.760058,-1,,,成熟・既存勢力 (Established),高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用;配合・充填・抄紙プロセスの最適化
空気中の二酸化炭素を用いたアルカリ土類金属炭酸塩の製造方法とその利用,-,特願2012-168694,特開2013-047173,['学校法人北里研究所'],[],2012.0,['C01F11'],11,"[11] アルカリ土, 金属炭, 金属炭酸",14.457785,8.963936,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウム系化合物の製造方法,-,特願2011-180619,特開2013-043786,['愛媛県'],[],2011.0,"['110', 'C01B25', '100', '120', 'D21H19', 'B41M5', 'C01F11', 'D21H27']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.041014,17.889887,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
ストロンチウムの分離方法及び装置,-,特願2011-173988,特開2013-034955,['ＪＦＥエンジニアリング'],[],2011.0,"['G21F9', 'B01D61', '101@Z', 'B09B5', '103', 'C25B1', 'B09C1', 'C25B15', 'C02F1', '561', 'C01F11', 'C02F11', 'B09B101:90']",-1,ノイズ / 小クラスタ,21.259468,17.69664,-1,,,,その他,その他,専用装置・プラントシステムの設計
炭化水素含有組成物を結合およびバイオレメディエーションするための表面処理炭酸カルシウム,-,特願2014-524346,特表2014-529488,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['C02F3', 'B09B3', 'B09C1', 'C01F11', 'C02F11', 'B09B101:90']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.749844,17.424746,-1,0,"[0] 製造, 水素担持粉, 炭酸カルシウム",衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,表面処理・複合化の適用
溶出低減材、溶出低減材の製造方法および溶出低減方法,-,特願2011-168644,特開2013-031796,['住友大阪セメント'],[],2011.0,"['C09K17', '304@K', 'C01G49', 'B09B3', 'B09C1', 'C01F5', 'C09K3', 'C01F11', 'B09B101:90']",29,"[29] 鉱物, 重金属, 製造",15.402164,10.888685,-1,,,リーダー (Leaders),その他,その他,その他
アルカリ土類金属炭酸塩の製造方法、チタン酸バリウムの製造方法およびチタン酸ストロンチウムの製造方法,-,特願2011-166514,特開2013-028509,['堺化学工業'],[],2011.0,['C01F11'],11,"[11] アルカリ土, 金属炭, 金属炭酸",14.563148,8.870088,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
気体二酸化炭素のアルカリ及び／又はアルカリ土類重炭酸塩水溶液への変換,-,特願2014-522150,特表2014-528886,['シリカ\u3000デ\u3000パナマ\u3000エス．エー．'],[],2012.0,"['B01J49', 'C01B32', '160', 'B01J39', 'C01D7', 'C01B31', '170', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.896792,18.223513,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他炭酸塩関連技術,その他,その他
石膏を用いた高純度硫安及び方解石の製造方法,-,特願2014-521547,特表2014-520754,['コリア\u3000インスティテュート\u3000オブ\u3000ジオサイエンス\u3000アンド\u3000ミネラル\u3000リソーシズ'],[],2012.0,"['C01F11', 'C01C1']",6,"[6] 脱硫, 脱硫剤, 再生式",15.02109,20.348248,-1,,,,その他,その他,その他
高性能断熱材,-,特願2014-519613,特表2014-527500,['サン－ゴバン\u3000イゾベ'],[],2012.0,"['C01B33', '301@A', 'C04B38', 'E04B1', '302@A', 'C01F11']",34,"[34] 製造, 貝殻, ドロマイト",15.66337,11.5753975,-1,,,,その他,その他,その他
沈降炭酸カルシウムの製造方法、沈降炭酸カルシウムおよびこの使用,-,特願2014-516305,特表2014-524876,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['C09C1', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.486845,18.954449,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
含浸処理炭酸カルシウム、その製造方法、ポリマー組成物及びポリマー前駆体組成物,-,特願2013-520556,WO2012/173114,['白石工業'],[],2012.0,"['C08K9', 'C01F11', 'C08L101']",25,"[25] 顔料, 製造, 自己結合",14.552732,13.010426,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムの結晶,-,特願2011-134608,特開2012-250898,['笹川\u3000大'],[],2011.0,['C01F11'],2,"[2] 結晶, 炭酸カルシウム, アラゴナイト結晶",12.11096,7.88651,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
化粧料用表面処理球状炭酸カルシウム粒子の製造方法,-,特願2011-109942,特開2012-240930,['堺化学工業'],[],2011.0,"['A61K8', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",13.265543,12.279165,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
高純度炭酸カルシウムの製造方法,-,特願2011-111028,特開2012-240872,['白石中央研究所'],[],2011.0,['C01F11'],-1,ノイズ / 小クラスタ,20.291046,18.58307,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
改善された明度を有するパルプ工場廃棄物由来の沈降炭酸カルシウム、この製造方法および使用,-,特願2014-510729,特表2014-523839,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['C01F11', 'D21H17']",31,"[31] 回収, カルシウム, 廃棄物",19.511442,16.582827,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,その他
塗工用軽質炭酸カルシウム含有スラリー及びそれを用いた塗被紙,-,特願2011-266047,特開2012-224535,['王子ホールディングス'],[],2011.0,"['D21H19', 'C01F11']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.775748,11.935992,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
複合粒子の製造方法、複合粒子、複合粒子内添紙及び塗工紙,-,特願2011-076893,特開2012-211032,['大王製紙'],[],2011.0,"['C09C3', 'D21H19', 'C01F11', 'D21H17']",18,"[18] 製造, 無機, 光学",16.205511,13.0650625,-1,,,,その他,その他,表面処理・複合化の適用
ミキシング効率に優れる、結晶微粒子の製造方法およびその装置,-,特願2011-077036,特開2012-210562,['国立大学法人九州大学'],[],2011.0,"['B01J19', 'B01F35', 'B01F5', 'B01F25', 'B01F23', 'B01F3', 'C01F11']",18,"[18] 製造, 無機, 光学",16.800817,13.003217,-1,,,,その他,その他,専用装置・プラントシステムの設計
微粒分の少ない炭酸カルシウムスラリー及び塗工層にこれを備えた塗工紙,-,特願2011-074687,特開2012-207346,['ファイマテック'],[],2011.0,"['D21H23', 'B05D7', 'D21H19', 'C01F11', '303@B']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.778823,11.918384,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
樹脂用炭酸カルシウム填料、その製造方法、及び該填料を含む樹脂組成物,-,特願2013-509954,WO2012/141236,['丸尾カルシウム'],[],2012.0,"['C08L101', 'C01F11', 'C08K3']",-1,ノイズ / 小クラスタ,13.708152,13.032107,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;高分子・樹脂複合材料技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,その他
自己結合顔料粒子を調製する方法,-,特願2014-501540,特表2014-513170,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2012.0,"['D21H19', 'C09C1', 'C09D7', 'C09D17', 'C09C3', 'C08K3', 'C09D201', 'C08L1', 'C01F11', 'D21H27']",25,"[25] 顔料, 製造, 自己結合",14.23617,11.9165325,-1,,,衰退・ニッチ (Declining/Niche),製紙・パルププロセス技術,その他,その他
鳥類の卵殻を用いた沈降性炭酸カルシウムの製造方法,-,特願2014-502447,特表2014-518537,['パク\u3000キョンウォン'],[],2012.0,"['304@Z', 'B09B3', '303@Z', 'B09B101:00', 'C01F11']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.208881,14.598405,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
アクリルポリマー溶液存在下での水中における炭酸カルシウムの粉砕方法、およびアクリルポリマー溶液中においてその場で製造されるアルカリ炭酸塩,-,特願2013-558519,特表2014-520051,['コアテツクス・エス・アー・エス'],[],2011.0,"['C09C1', 'C08F20', 'C09C3', 'C09D17', 'C01F11']",25,"[25] 顔料, 製造, 自己結合",14.578857,12.991689,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他の手段
アルカリ土類金属炭酸塩微粉末,-,特願2012-557986,WO2012/111692,"['宇部マテリアルズ', '宇部興産']",[],2012.0,"['C09C3', 'C09C1', 'C01F11']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.281718,9.309756,-1,,,リーダー (Leaders),その他炭酸塩関連技術,その他,その他
針状炭酸ストロンチウム粒子の製造方法,-,特願2012-557985,WO2012/111691,['宇部マテリアルズ'],[],2012.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.289675,15.019907,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術,その他,その他
カルサイト単結晶の製造方法,-,特願2012-556915,WO2012/108473,"['国立大学法人高知大学', '独立行政法人海洋研究開発機構']",[],2012.0,"['C30B7', 'C01F11', 'C30B29']",2,"[2] 結晶, 炭酸カルシウム, アラゴナイト結晶",12.010081,7.7601275,-1,,,,その他,その他,その他
針状炭酸ストロンチウム粒子の製造方法、及び、針状炭酸ストロンチウム粒子,-,特願2011-011036,特開2012-153537,['堺化学工業'],[],2011.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.277563,15.020164,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術,その他,その他
炭酸ストロンチウム粒子の製造方法、及び、炭酸ストロンチウム粒子,-,特願2011-011035,特開2012-153536,['堺化学工業'],[],2011.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.17906,14.86095,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術,その他,その他
表面処理重質炭酸カルシウム、その製造方法、及び該炭酸カルシウムを配合した樹脂組成物,-,特願2011-006957,特開2012-148905,['丸尾カルシウム'],[],2011.0,"['C08L101', 'C08L67', 'C08K9', 'C01F11', 'C08L23']",20,"[20] 炭酸カルシウム, 該填料, 硬化型",14.046529,13.904498,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用;配合・充填・抄紙プロセスの最適化
複合粒子、複合粒子内添紙及び塗工紙,-,特願2010-272998,特開2012-122159,['大王製紙'],[],2010.0,"['C08L101', 'C08J3', 'C01G23', 'D21H17', 'C08K3', 'D21H19', 'C01F11']",18,"[18] 製造, 無機, 光学",16.117138,13.056632,-1,,,,その他,その他,表面処理・複合化の適用
乾燥した表面改質ナノカルサイト,-,特願2013-544635,特表2014-501688,['スリーエム\u3000イノベイティブ\u3000プロパティズ\u3000カンパニー'],[],2011.0,"['C08K9', 'C01F11', 'C08L101']",-1,ノイズ / 小クラスタ,16.669468,14.359311,-1,,,,その他,その他,表面処理・複合化の適用
無機アミンをビニル－カルボン酸ポリマーと組み合わせて使用して水性懸濁物を調製する方法,-,特願2013-539355,特表2014-502298,['オムヤ\u3000インターナショナル\u3000アーゲー'],[],2011.0,"['C08L101', 'C09C1', 'D21H21', 'C09D7', 'C08K9', 'C09C3', 'C08K3', 'C09D201', 'C09D17', 'C01F11']",27,"[27] 炭酸カルシウム, 水性, 製造",18.000591,8.686666,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
炭酸カルシウムの製造方法,-,特願2010-241597,特開2012-091971,['三菱製紙'],[],2010.0,['C01F11'],8,"[8] 炭酸カルシウム, 製造, 高級炭酸",21.125011,20.156963,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムの製造方法,-,特願2010-241596,特開2012-091970,['三菱製紙'],[],2010.0,"['D21C11', 'C01F11']",8,"[8] 炭酸カルシウム, 製造, 高級炭酸",21.120424,20.151224,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
